            2MASS_ID   B_mag   V_mag   I_mag   J_mag   H_mag   K_mag  Period
   03443006+2535470   -99.00   15.00  -99.00   11.88   11.18   10.97    1.79
   03443102+2215151    18.41   16.77   14.19   12.64   11.98   11.76  -99.00
   03443170+2335263   -99.00   17.69   14.89   13.10   12.45   12.20  -99.00
   03443198+2352309    15.98   14.60   12.20   11.28   10.73   10.45    0.94
   03443215+2508125   -99.00   19.30   15.90   14.27   13.59   13.37  -99.00
   03443348+2614534   -99.00   17.00   14.20   12.68   12.08   11.79  -99.00
   03443541+2400048    15.85   14.48  -99.00   11.55   10.85   10.65  -99.00
   03443589+2334421   -99.00   20.71   17.08   15.00   14.34   14.02  -99.00
   03443627+2330112    18.12   16.55   13.99   12.56   11.91   11.66  -99.00
   03443741+2508160    14.54   13.33   11.94   10.99   10.39   10.24    9.03
   03443776+2425389   -99.00   19.51   16.22   14.44   13.79   13.52  -99.00
   03443777+2255157   -99.00   14.31   12.55   11.90   11.23   11.04    0.32
   03443894+2302254   -99.00   18.30   15.10   13.39   12.80   12.50  -99.00
   03443966+2206479    11.88   11.11  -99.00    9.64    9.25    9.13  -99.00
   03444075+2449067    10.39    9.84    9.21    8.78    8.54    8.51    1.92
   03444182+2227524    11.50   10.78  -99.00    9.48    9.14    9.07  -99.00
   03444317+2552319    12.62   11.72  -99.00   10.03    9.67    9.52    6.63
   03444394+2529574    13.09   12.15  -99.00   10.39    9.86    9.74    6.77
   03444398+2413523    12.20   11.39   10.53    9.91    9.57    9.47    5.52
   03444732+2400379   -99.00   17.50   14.60   13.19   12.57   12.32  -99.00
   03444758+2636027    15.78   14.42   12.73   11.73   10.99   10.83    7.15
   03444783+2412527   -99.00   18.00   14.80   13.37   12.74   12.45  -99.00
   03444821+2417222     5.42    5.46    5.45    5.45    5.48    5.50  -99.00
   03445017+2454400    14.64   13.43   12.00   11.13   10.39   10.34    5.55
   03445123+2316082     9.26    8.86    8.37    8.18    8.01    7.98  -99.00
   03445253+2406478     3.58    3.70    3.78    4.08    4.09    3.92  -99.00
   03445301+2608313    13.49   12.45  -99.00   10.59   10.03    9.93    8.65
   03445383+2355165    11.58   10.78    9.87    9.31    8.94    8.82    2.43
   03445409+2426469   -99.00   18.50   15.10   13.62   12.98   12.75  -99.00
   03445599+2355535   -99.00   17.30   14.40   12.80   12.15   11.92  -99.00
   03445639+2425574    11.04   10.42    9.69    9.22    8.94    8.87    2.85
   03445667+2336237   -99.00   17.60   14.60   13.16   12.61   12.33  -99.00
   03445801+2324312   -99.00   18.00   14.90   13.27   12.66   12.36  -99.00
   03445857+2355410   -99.00   17.50   14.60   13.06   12.40   12.11  -99.00
   03445892+2201568     9.97    9.48  -99.00    8.52    8.35    8.28  -99.00
   03445895+2323202    15.16   13.85  -99.00   11.27   10.39   10.48    5.84
   03445947+2321184   -99.00   19.60   16.00   14.27   13.69   13.38  -99.00
   03450113+2446411   -99.00   18.00   15.00   13.44   12.83   12.57  -99.00
